date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:56	1777/1777	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0f-6f1-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot041.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot041.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:57	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb1-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image35.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image35.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:57	1633/1633	---M--	200	added ('OK')	image/jpeg	etag:%2210ce10-661-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot042.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot042.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:57	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb2-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image36.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image36.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:58	1474/1474	---M--	200	added ('OK')	image/jpeg	etag:%2210ce11-5c2-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot043.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot043.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:58	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb3-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image37.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image37.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:58	1625/1625	---M--	200	added ('OK')	image/jpeg	etag:%2210ce12-659-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot044.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot044.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:59	7149030/7149030	---M--	200	added ('OK')	application/x-msdos-program	etag:%22264157-6d15e6-f3c19540%22	http://www.cmass.edu.hk/~ts/Download%20Software/AS_En.exe	d:/My%20Websites/cmass/www.cmass.edu.hk/_ts/Download%20Software/AS_En.exe	(from http://www.cmass.edu.hk/~ts/)
09:48:01	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb4-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image38.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image38.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:03	1728/1728	---M--	200	added ('OK')	image/jpeg	etag:%2210ce13-6c0-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot045.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot045.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
